Layer,Quantized Value,Count,Percentage,Hamming Distance,Hamming x Percentage
5,-46,73,0.51,4,2.03
5,-45,61,0.42,5,2.12
5,-44,79,0.55,4,2.19
5,-43,77,0.53,5,2.67
5,-42,83,0.58,5,2.88
5,-41,74,0.51,6,3.08
5,-40,66,0.46,4,1.83
5,-39,72,0.50,5,2.50
5,-38,81,0.56,5,2.81
5,-37,67,0.47,6,2.79
5,-36,76,0.53,5,2.64
5,-35,93,0.65,6,3.88
5,-34,68,0.47,6,2.83
5,-33,75,0.52,7,3.65
5,-32,74,0.51,3,1.54
5,-31,70,0.49,4,1.94
5,-30,74,0.51,4,2.06
5,-29,66,0.46,5,2.29
5,-28,54,0.38,4,1.50
5,-27,75,0.52,5,2.60
5,-26,69,0.48,5,2.40
5,-25,88,0.61,6,3.67
5,-24,70,0.49,4,1.94
5,-23,71,0.49,5,2.47
5,-22,88,0.61,5,3.06
5,-21,88,0.61,6,3.67
5,-20,72,0.50,5,2.50
5,-19,75,0.52,6,3.12
5,-18,73,0.51,6,3.04
5,-17,73,0.51,7,3.55
5,-16,84,0.58,4,2.33
5,-15,95,0.66,5,3.30
5,-14,90,0.62,5,3.12
5,-13,65,0.45,6,2.71
5,-12,68,0.47,5,2.36
5,-11,77,0.53,6,3.21
5,-10,72,0.50,6,3.00
5,-9,81,0.56,7,3.94
5,-8,89,0.62,5,3.09
5,-7,75,0.52,6,3.12
5,-6,74,0.51,6,3.08
5,-5,78,0.54,7,3.79
5,-4,77,0.53,6,3.21
5,-3,82,0.57,7,3.99
5,-2,72,0.50,7,3.50
5,-1,84,0.58,8,4.67
5,0,64,0.44,0,0.00
5,1,78,0.54,1,0.54
5,2,96,0.67,1,0.67
5,3,77,0.53,2,1.07
5,4,66,0.46,1,0.46
5,5,96,0.67,2,1.33
5,6,65,0.45,2,0.90
5,7,88,0.61,3,1.83
5,8,63,0.44,1,0.44
5,9,86,0.60,2,1.19
5,10,77,0.53,2,1.07
5,11,78,0.54,3,1.63
5,12,61,0.42,2,0.85
5,13,83,0.58,3,1.73
5,14,69,0.48,3,1.44
5,15,75,0.52,4,2.08
5,16,85,0.59,1,0.59
5,17,85,0.59,2,1.18
5,18,85,0.59,2,1.18
5,19,74,0.51,3,1.54
5,20,68,0.47,2,0.94
5,21,78,0.54,3,1.63
5,22,74,0.51,3,1.54
5,23,71,0.49,4,1.97
5,24,77,0.53,2,1.07
5,25,75,0.52,3,1.56
5,26,63,0.44,3,1.31
5,27,81,0.56,4,2.25
5,28,68,0.47,3,1.42
5,29,94,0.65,4,2.61
5,30,65,0.45,4,1.81
5,31,79,0.55,5,2.74
5,32,91,0.63,1,0.63
5,33,89,0.62,2,1.24
5,34,82,0.57,2,1.14
5,35,65,0.45,3,1.35
5,36,87,0.60,2,1.21
5,37,63,0.44,3,1.31
5,38,75,0.52,3,1.56
5,39,67,0.47,4,1.86
5,40,60,0.42,2,0.83
5,41,75,0.52,3,1.56
5,42,79,0.55,3,1.65
5,43,77,0.53,4,2.14
5,44,84,0.58,3,1.75
5,45,79,0.55,4,2.19
5,46,77,0.53,4,2.14
5,47,90,0.62,5,3.12
5,48,69,0.48,2,0.96
5,49,84,0.58,3,1.75
5,50,67,0.47,3,1.40
5,51,73,0.51,4,2.03
5,52,71,0.49,3,1.48
5,53,82,0.57,4,2.28
5,54,82,0.57,4,2.28
5,55,71,0.49,5,2.47
5,56,89,0.62,3,1.85
5,57,86,0.60,4,2.39
5,58,80,0.56,4,2.22
5,59,74,0.51,5,2.57
5,60,83,0.58,4,2.31
5,61,71,0.49,5,2.47
5,62,83,0.58,5,2.88
5,63,82,0.57,6,3.42
5,64,65,0.45,1,0.45
5,65,74,0.51,2,1.03
5,66,89,0.62,2,1.24
5,67,79,0.55,3,1.65
5,68,84,0.58,2,1.17
5,69,81,0.56,3,1.69
5,70,82,0.57,3,1.71
5,71,61,0.42,4,1.69
5,72,83,0.58,2,1.15
5,73,61,0.42,3,1.27
5,74,75,0.52,3,1.56
5,75,77,0.53,4,2.14
5,76,74,0.51,3,1.54
5,77,77,0.53,4,2.14
5,78,71,0.49,4,1.97
5,79,62,0.43,5,2.15
